Genes,Domain Number,Norm_Symbol
CDCA4,1,CDCA4
RPA3,1,RPA3
POMGNT2,1,POMGNT2
DDX46,2,DDX46
AVPR2,1,AVPR2
TRIM48,2,TRIM48
ATAD3B,2,ATAD3B
C5orf24,1,C5orf24
GLCCI1,1,GLCCI1
SPATA5,2,SPATA5
NOX4,3,NOX4
SYNPO2,1,SYNPO2
POTEM,1,POTEM
CNTNAP3B,3,CNTNAP3B
AC011195.2,1,AC011195.2
CES1,1,CES1
CR354443.1,1,CR354443.1
DGKH,5,DGKH
KDM5D,6,KDM5D
CA13,1,CA13
RTN4R,1,RTN4R
DGAT1,1,DGAT1
ZNF316,2,ZNF316
MZB1,1,MZB1
LKAAEAR1,1,LKAAEAR1
ADAMTSL5,3,ADAMTSL5
CA2,1,CA2
CYP2C9,1,CYP2C9
C10orf142,1,C10orf142
SHPK,1,SHPK
C5orf51,1,C5orf51
TTYH3,1,TTYH3
SMIM10,1,SMIM10
RFT1,1,RFT1
RTL8B,1,RTL8B
PLAAT3,1,PLAAT3
DGCR6L,1,DGCR6L
MYBPC3,3,MYBPC3
RTL8C,1,RTL8C
KHSRP,2,KHSRP
MAN2B1,4,MAN2B1
CA3,1,CA3
ARHGAP35,4,ARHGAP35
SPP1,1,SPP1
DNMT1,5,DNMT1
RTL8A,1,RTL8A
H6PD,3,H6PD
MCM7,4,MCM7
COX18,1,COX18
RWDD2B,2,RWDD2B
SFMBT1,3,SFMBT1
SMIM10L2B,1,SMIM10L2B
DKK3,1,DKK3
BTN3A2,1,BTN3A2
PPP1R3G,1,PPP1R3G
DET1,1,DET1
TRMU,1,TRMU
RUBCNL,1,RUBCNL
S1PR2,1,S1PR2
AC013489.1,1,AC013489.1
USP41,1,USP41
OR2A2,1,OR2A2
TEX14,2,TEX14
MRPL46,1,MRPL46
TXNDC15,1,TXNDC15
SPSB1,2,SPSB1
GPR35,1,GPR35
ZNF12,2,ZNF12
LNP1,1,LNP1
ADGRA3,4,ADGRA3
WDR83,1,WDR83
MRPS11,1,MRPS11
SLC24A4,1,SLC24A4
ARHGAP4,3,ARHGAP4
TOMM70,2,TOMM70
DNAJC5,1,DNAJC5
GATAD2A,2,GATAD2A
UACA,1,UACA
TAB2,1,TAB2
RGS11,4,RGS11
ZRSR2,2,ZRSR2
UPF3A,1,UPF3A
SLC25A41,1,SLC25A41
LAMP1,1,LAMP1
AC010422.5,2,AC010422.5
PROB1,1,PROB1
SUMO4,1,SUMO4
C20orf27,1,C20orf27
PKD2,2,PKD2
CBLL1,1,CBLL1
ARID1A,2,ARID1A
ATL3,2,ATL3
ITGA8,3,ITGA8
RWDD1,2,RWDD1
MTERF1,1,MTERF1
PTPN2,1,PTPN2
ADAMTS1,6,ADAMTS1
APBA1,2,APBA1
GZF1,4,GZF1
USP47,1,USP47
OR4A16,1,OR4A16
OR4A15,1,OR4A15
SERF1A,1,SERF1A
MCCC2,1,MCCC2
SPATA24,1,SPATA24
UBB,1,UBB
CAPN10,2,CAPN10
CA1,1,CA1
FBXO4,1,FBXO4
SAMD12,1,SAMD12
ARHGAP27,3,ARHGAP27
GRTP1,1,GRTP1
TRPV1,2,TRPV1
GGTLC3,1,GGTLC3
ADAMTS5,5,ADAMTS5
SIRPB1,2,SIRPB1
UBXN8,2,UBXN8
DCLRE1C,2,DCLRE1C
PRR15,1,PRR15
SPRY1,1,SPRY1
WSB1,2,WSB1
HUS1,1,HUS1
AL049634.2,1,AL049634.2
MAMDC2,1,MAMDC2
PALLD,1,PALLD
GNLY,1,GNLY
SIRPD,1,SIRPD
SEPTIN4,2,SEPTIN4
NAA10,1,NAA10
MRPL52,1,MRPL52
APOL2,1,APOL2
NPAS1,3,NPAS1
PPP2CB,1,PPP2CB
USP16,2,USP16
PKNOX1,2,PKNOX1
MTMR1,2,MTMR1
ADAM23,5,ADAM23
ZNF177,4,ZNF177
YTHDC1,1,YTHDC1
ADPRHL1,1,ADPRHL1
MECP2,1,MECP2
ZC3H12D,2,ZC3H12D
CBR4,2,CBR4
DHRS3,1,DHRS3
TEX15,2,TEX15
TMEM18,1,TMEM18
UGGT1,6,UGGT1
KLF14,1,KLF14
SUV39H2,3,SUV39H2
ZNF559,2,ZNF559
MBD2,3,MBD2
DLG4,5,DLG4
PLPPR1,1,PLPPR1
MED29,1,MED29
VRK1,1,VRK1
SLC4A5,2,SLC4A5
DDX60L,2,DDX60L
SLC25A29,1,SLC25A29
REPS2,1,REPS2
OSBPL10,2,OSBPL10
ADH7,2,ADH7
UBASH3B,3,UBASH3B
C2orf81,1,C2orf81
FGFRL1,2,FGFRL1
UCKL1,2,UCKL1
PURG,1,PURG
RFPL4A,4,RFPL4A
ZNF559-ZNF177,4,ZNF559-ZNF177
RFPL4AL1,4,RFPL4AL1
TAF11,1,TAF11
CRTAM,2,CRTAM
TMEM45A,1,TMEM45A
LYRM4,1,LYRM4
SLC25A33,1,SLC25A33
ZNF860,2,ZNF860
AADACL4,1,AADACL4
SPATA31A6,2,SPATA31A6
FTSJ1,1,FTSJ1
NAPB,1,NAPB
YY1,1,YY1
PRKAA2,2,PRKAA2
INTS6,2,INTS6
AADACL3,1,AADACL3
MTHFD2,2,MTHFD2
ELMO2,3,ELMO2
SRGN,1,SRGN
MEOX1,1,MEOX1
UHRF1BP1,1,UHRF1BP1
SLC25A39,1,SLC25A39
OR4C15,1,OR4C15
CEP57L1,2,CEP57L1
GOLGA8Q,1,GOLGA8Q
FYB2,1,FYB2
TMPRSS11E,2,TMPRSS11E
ZNF74,2,ZNF74
WRN,7,WRN
POLK,3,POLK
KLHL29,3,KLHL29
ESPNL,2,ESPNL
BAAT,2,BAAT
SPEF1,1,SPEF1
KHDRBS2,3,KHDRBS2
CXCL12,1,CXCL12
PLEKHM1,2,PLEKHM1
CSTL1,1,CSTL1
POLI,2,POLI
AHCY,2,AHCY
IL20RB,2,IL20RB
CT55,1,CT55
SNRNP200,4,SNRNP200
MID1,6,MID1
DCUN1D2,2,DCUN1D2
OR2A14,1,OR2A14
MKLN1,3,MKLN1
KCNV2,2,KCNV2
SLC35G2,1,SLC35G2
ZNF346,1,ZNF346
ASIP,1,ASIP
UGT2B17,1,UGT2B17
HS3ST2,1,HS3ST2
ATOH8,1,ATOH8
YJEFN3,1,YJEFN3
CST11,1,CST11
MAP4K2,2,MAP4K2
ADGRL2,7,ADGRL2
SLC18B1,1,SLC18B1
ACADVL,3,ACADVL
DYTN,3,DYTN
PUM3,1,PUM3
GNA12,1,GNA12
TSSK6,1,TSSK6
AC011448.1,2,AC011448.1
NCK1,3,NCK1
SCFD1,1,SCFD1
MATN3,3,MATN3
GAL,2,GAL
CST8,1,CST8
NDUFA13,1,NDUFA13
HNRNPCL1,1,HNRNPCL1
WIPF3,1,WIPF3
R3HDM4,2,R3HDM4
CDH18,2,CDH18
HPSE,1,HPSE
MAP11,1,MAP11
HIVEP2,1,HIVEP2
ARHGEF5,4,ARHGEF5
JHY,1,JHY
CENPB,4,CENPB
ERC2,1,ERC2
TMEM201,2,TMEM201
TRIM38,4,TRIM38
UBE2C,1,UBE2C
NLRP11,5,NLRP11
RIN3,1,RIN3
ZFP36,1,ZFP36
FIGNL2,1,FIGNL2
ARL5C,1,ARL5C
ARHGDIG,1,ARHGDIG
CATSPER3,1,CATSPER3
SLC25A23,3,SLC25A23
NMRK1,1,NMRK1
TENT4A,2,TENT4A
TRIT1,2,TRIT1
PCBD2,1,PCBD2
TNFRSF11B,2,TNFRSF11B
BRSK2,1,BRSK2
NLRP4,5,NLRP4
OR2A42,1,OR2A42
OR2A1,1,OR2A1
NHS,1,NHS
OR2A7,1,OR2A7
RINT1,1,RINT1
GMPS,3,GMPS
WIPF2,1,WIPF2
ZFP64,4,ZFP64
C8A,3,C8A
TRPV2,2,TRPV2
ARHGEF35,1,ARHGEF35
GHR,3,GHR
NKX3-1,1,NKX3-1
ARHGAP11B,1,ARHGAP11B
RTN3,1,RTN3
BSX,1,BSX
AMBP,2,AMBP
NKX2-6,1,NKX2-6
GOLGA8H,1,GOLGA8H
AGAP1,4,AGAP1
SPNS3,1,SPNS3
AC091057.6,1,AC091057.6
ADAMTS12,5,ADAMTS12
SYMPK,2,SYMPK
SLC38A4,1,SLC38A4
SLC22A2,1,SLC22A2
MAP2K6,1,MAP2K6
C11orf53,1,C11orf53
ZNF330,1,ZNF330
SEC23IP,3,SEC23IP
MMP14,4,MMP14
LTBP1,3,LTBP1
SOST,1,SOST
MATN1,3,MATN1
SULT6B1,1,SULT6B1
STC1,1,STC1
COLCA2,1,COLCA2
ANKRD33,1,ANKRD33
DENND1C,3,DENND1C
ZNF75D,3,ZNF75D
SERPINE3,1,SERPINE3
DEPP1,1,DEPP1
TMEM33,1,TMEM33
ADGRG7,2,ADGRG7
CLU,1,CLU
FARS2,2,FARS2
MYO1B,3,MYO1B
ETFA,2,ETFA
DNAJC18,2,DNAJC18
AFF3,1,AFF3
RXFP3,1,RXFP3
RHCE,1,RHCE
NDUFS5,1,NDUFS5
FASTKD2,3,FASTKD2
ATAD2B,3,ATAD2B
AP1S2,1,AP1S2
CACNB1,2,CACNB1
ECSCR,1,ECSCR
TCOF1,1,TCOF1
CEBPZ,1,CEBPZ
UGT2B15,1,UGT2B15
GBA3,1,GBA3
ARHGAP17,2,ARHGAP17
KCNJ16,2,KCNJ16
USP31,1,USP31
SPNS2,1,SPNS2
CERT1,2,CERT1
RSPH4A,1,RSPH4A
MRTFB,2,MRTFB
STARD6,1,STARD6
RASSF4,2,RASSF4
DTNA,3,DTNA
SYT8,1,SYT8
EIF1AY,1,EIF1AY
DUSP3,1,DUSP3
TMEM126B,1,TMEM126B
TMEM72,1,TMEM72
TESMIN,1,TESMIN
ATAD3A,2,ATAD3A
DBNL,2,DBNL
KLHL30,3,KLHL30
SAMD10,1,SAMD10
LAPTM5,1,LAPTM5
KISS1R,1,KISS1R
CFAP97D1,1,CFAP97D1
NUP93,1,NUP93
C18orf54,1,C18orf54
KLHL22,5,KLHL22
ACVRL1,2,ACVRL1
COLEC10,2,COLEC10
FKBP14,2,FKBP14
FEZF2,2,FEZF2
C11orf95,1,C11orf95
DUSP19,1,DUSP19
HS6ST2,1,HS6ST2
MINDY3,1,MINDY3
AQP12B,1,AQP12B
KCNJ2,3,KCNJ2
MYBBP1A,1,MYBBP1A
SNX14,4,SNX14
FKBP1C,1,FKBP1C
HNRNPCL3,1,HNRNPCL3
LRRC10B,1,LRRC10B
SCNN1G,1,SCNN1G
GKN2,1,GKN2
TMEM50A,1,TMEM50A
BTG4,1,BTG4
SPTBN2,3,SPTBN2
RNF212,1,RNF212
NUDCD2,1,NUDCD2
UGT2B10,1,UGT2B10
CDC6,3,CDC6
IGFBP1,2,IGFBP1
OSTF1,2,OSTF1
SCRN1,1,SCRN1
ZC3H4,2,ZC3H4
ANKS1A,5,ANKS1A
SCAPER,2,SCAPER
CELSR1,8,CELSR1
POU2AF1,1,POU2AF1
MYOZ2,1,MYOZ2
SUN3,1,SUN3
TMEM144,1,TMEM144
DCTN1,2,DCTN1
ELMO3,3,ELMO3
C7,5,C7
C4orf17,1,C4orf17
TNNC2,2,TNNC2
KIF12,1,KIF12
TMEM240,1,TMEM240
LDLR,4,LDLR
DUSP22,1,DUSP22
SAE1,1,SAE1
PGAM2,1,PGAM2
SNTG2,1,SNTG2
SPDYE5,1,SPDYE5
CCNG1,1,CCNG1
HIST1H1A,1,HIST1H1A
USP53,1,USP53
DKK4,2,DKK4
SCN7A,2,SCN7A
HIST1H3A,1,HIST1H3A
ZNF449,2,ZNF449
HIST1H4A,1,HIST1H4A
C8B,3,C8B
SMIM10L2A,1,SMIM10L2A
HIST1H4B,1,HIST1H4B
HIST1H3B,1,HIST1H3B
SPC24,1,SPC24
LGSN,1,LGSN
PLEKHA8,2,PLEKHA8
ZUP1,1,ZUP1
PLPP4,1,PLPP4
INTS6L,2,INTS6L
OMA1,1,OMA1
STRADB,1,STRADB
CST9L,1,CST9L
GASK1B,1,GASK1B
AQP12A,1,AQP12A
SENP6,1,SENP6
NAGPA,1,NAGPA
TMCO3,1,TMCO3
UBA2,4,UBA2
ACOT8,1,ACOT8
CD74,3,CD74
SMN1,1,SMN1
TSPAN18,1,TSPAN18
MYCL,2,MYCL
SYNCRIP,2,SYNCRIP
SOX9,2,SOX9
TEK,3,TEK
SCRT1,2,SCRT1
RPUSD2,1,RPUSD2
CKMT1A,2,CKMT1A
DAB1,1,DAB1
SPINDOC,1,SPINDOC
SNX21,1,SNX21
AGO1,6,AGO1
RPS4Y2,4,RPS4Y2
SH3YL1,2,SH3YL1
USP26,2,USP26
ITPRIPL1,1,ITPRIPL1
CSNK1E,1,CSNK1E
CRYBA1,1,CRYBA1
PPL,1,PPL
TFDP3,2,TFDP3
HNRNPCL2,1,HNRNPCL2
TRAK2,2,TRAK2
TFG,1,TFG
DYNAP,1,DYNAP
PPARGC1A,1,PPARGC1A
ARHGEF16,3,ARHGEF16
PTP4A1,1,PTP4A1
RAB28,2,RAB28
MRPS16,1,MRPS16
ARID3A,1,ARID3A
NUFIP2,1,NUFIP2
SIGLEC15,1,SIGLEC15
ACVR1B,3,ACVR1B
FOXA3,2,FOXA3
EEF2KMT,2,EEF2KMT
SULT4A1,1,SULT4A1
IRF2BP1,2,IRF2BP1
NLRP13,5,NLRP13
MYPOP,1,MYPOP
CH25H,1,CH25H
NANOS2,1,NANOS2
HMGCR,2,HMGCR
HTR3B,2,HTR3B
RAB27B,1,RAB27B
GPC4,1,GPC4
TP53I11,1,TP53I11
GBX2,1,GBX2
NLRP8,5,NLRP8
ERG,2,ERG
HIST1H2AB,2,HIST1H2AB
ASB18,4,ASB18
TPTEP2-CSNK1E,1,TPTEP2-CSNK1E
PRRC2A,1,PRRC2A
PCED1B,1,PCED1B
GNPDA1,1,GNPDA1
C16orf89,1,C16orf89
GRAMD4,1,GRAMD4
AMIGO2,3,AMIGO2
SDC3,1,SDC3
ARHGAP6,1,ARHGAP6
HTR5A,1,HTR5A
TPO,3,TPO
NOVA2,1,NOVA2
TAOK1,1,TAOK1
PRPF6,3,PRPF6
H2AFY,3,H2AFY
CRHR1,2,CRHR1
NUDT13,3,NUDT13
OPN1LW,1,OPN1LW
SEC14L5,3,SEC14L5
NLRP5,5,NLRP5
AMELX,1,AMELX
CST9,1,CST9
BRMS1L,1,BRMS1L
ZNF787,2,ZNF787
SLCO5A1,2,SLCO5A1
ABHD5,1,ABHD5
SLCO6A1,2,SLCO6A1
ITGA11,3,ITGA11
INTS3,1,INTS3
TFDP1,2,TFDP1
C7orf57,1,C7orf57
CFAP70,1,CFAP70
HCCS,1,HCCS
SCML1,1,SCML1
LRP10,2,LRP10
CPO,1,CPO
DHRS7,1,DHRS7
ANGPT2,1,ANGPT2
HNRNPCL4,1,HNRNPCL4
ACRBP,1,ACRBP
IGFBP7,3,IGFBP7
ZNF444,2,ZNF444
C1QL3,2,C1QL3
LPAR5,1,LPAR5
IL15,1,IL15
MPP3,3,MPP3
WTIP,1,WTIP
TMEM126A,1,TMEM126A
PITX1,2,PITX1
IL1R2,2,IL1R2
SOX14,2,SOX14
GIMD1,1,GIMD1
PTER,1,PTER
PAMR1,4,PAMR1
PCNX4,1,PCNX4
TCTE3,1,TCTE3
GPD1L,2,GPD1L
CARD11,2,CARD11
KCNAB1,1,KCNAB1
FAM149B1,1,FAM149B1
MEX3D,2,MEX3D
MCPH1,3,MCPH1
ALG1,1,ALG1
GALP,1,GALP
ZSCAN5B,3,ZSCAN5B
HS6ST1,1,HS6ST1
SEMA6D,2,SEMA6D
DNAJC9,1,DNAJC9
OPN1MW,1,OPN1MW
LAPTM4A,1,LAPTM4A
TRMT10A,1,TRMT10A
PGLYRP1,1,PGLYRP1
UGT2A3,1,UGT2A3
ACP1,1,ACP1
SIRPG,2,SIRPG
SLC27A3,2,SLC27A3
ZNF22,1,ZNF22
MAL2,1,MAL2
CYP2A13,1,CYP2A13
SYT7,1,SYT7
CREBZF,1,CREBZF
CD99L2,1,CD99L2
HDAC10,1,HDAC10
CMTM8,1,CMTM8
MTTP,1,MTTP
POTEG,1,POTEG
POLR2B,7,POLR2B
HIST1H2BB,1,HIST1H2BB
SSU72,1,SSU72
DKK2,1,DKK2
GPR132,1,GPR132
CPT1A,2,CPT1A
SSR3,1,SSR3
ATP4B,1,ATP4B
MAGEB17,2,MAGEB17
CMTM6,1,CMTM6
FOXG1,1,FOXG1
GRK1,2,GRK1
GRPR,1,GRPR
CMTM7,1,CMTM7
ILKAP,1,ILKAP
SLC22A3,1,SLC22A3
TTC37,3,TTC37
BTN2A2,3,BTN2A2
PCSK5,5,PCSK5
KPNA5,3,KPNA5
LRRC29,2,LRRC29
DNAJB2,2,DNAJB2
ECD,1,ECD
CTAG2,1,CTAG2
HMGB3,2,HMGB3
LMBRD1,1,LMBRD1
TNNI2,1,TNNI2
SLC12A3,3,SLC12A3
TMEM208,1,TMEM208
PPP1R14D,1,PPP1R14D
TMEM26,1,TMEM26
SLC39A3,1,SLC39A3
RAB6C,1,RAB6C
MAPK12,1,MAPK12
DPP4,3,DPP4
ZSCAN5C,3,ZSCAN5C
PHF3,3,PHF3
DIRAS1,1,DIRAS1
ANO10,1,ANO10
CERK,1,CERK
AC006538.2,1,AC006538.2
DHX36,4,DHX36
IGFL4,1,IGFL4
COL27A1,2,COL27A1
ATRN,5,ATRN
TMEM173,1,TMEM173
GRASP,2,GRASP
OPN1MW2,1,OPN1MW2
PROS1,6,PROS1
XIRP2,2,XIRP2
HIST1H2AC,2,HIST1H2AC
OR4F3,1,OR4F3
SNRK,1,SNRK
CIDEC,1,CIDEC
HIST1H4C,1,HIST1H4C
FNDC10,1,FNDC10
NR4A1,2,NR4A1
PRKD3,3,PRKD3
GKN1,1,GKN1
GPR50,1,GPR50
KLF7,1,KLF7
HIST1H1C,1,HIST1H1C
NEK10,1,NEK10
PCMTD1,1,PCMTD1
FBXO8,2,FBXO8
IPO11,1,IPO11
JAGN1,1,JAGN1
SLC26A3,2,SLC26A3
SLC44A1,1,SLC44A1
GDF10,1,GDF10
STOML1,2,STOML1
HIST1H3C,1,HIST1H3C
HTT,1,HTT
GDF2,2,GDF2
CTCFL,1,CTCFL
SCNN1B,1,SCNN1B
RBP3,2,RBP3
NXNL1,1,NXNL1
NDFIP1,1,NDFIP1
AC010319.2,1,AC010319.2
HIST1H1T,1,HIST1H1T
MRPL21,1,MRPL21
TMEM221,1,TMEM221
EYS,3,EYS
SELENOP,2,SELENOP
TMEM191B,1,TMEM191B
FAM162B,1,FAM162B
CEP44,1,CEP44
SOX18,2,SOX18
COL19A1,1,COL19A1
ATN1,1,ATN1
NDUFAF7,1,NDUFAF7
ZNF582,2,ZNF582
SLC9A5,1,SLC9A5
C12orf57,1,C12orf57
MAPK8IP3,2,MAPK8IP3
TAS2R7,1,TAS2R7
TYW5,1,TYW5
ARHGEF26,2,ARHGEF26
TAS2R8,1,TAS2R8
PGLS,1,PGLS
TAS2R9,1,TAS2R9
UBXN2A,2,UBXN2A
CREB1,2,CREB1
TKTL1,3,TKTL1
LGMN,1,LGMN
ALG8,1,ALG8
ZSCAN5A,3,ZSCAN5A
CERS3,2,CERS3
GARNL3,2,GARNL3
OPN1MW3,1,OPN1MW3
APOL1,1,APOL1
TMEM249,1,TMEM249
BACH2,2,BACH2
TEX28,1,TEX28
IGFL3,1,IGFL3
SLC27A1,2,SLC27A1
TACSTD2,1,TACSTD2
GPRC6A,3,GPRC6A
TMSB15A,1,TMSB15A
NME3,1,NME3
C2orf69,1,C2orf69
IGFL2,1,IGFL2
FHOD1,2,FHOD1
PNPLA5,1,PNPLA5
POTEF,3,POTEF
UPP1,1,UPP1
FBXL6,2,FBXL6
METTL21A,1,METTL21A
OR4C16,1,OR4C16
CLIC5,2,CLIC5
OR4C11,1,OR4C11
SAP30L,2,SAP30L
GPC3,1,GPC3
DIMT1,1,DIMT1
CILP2,3,CILP2
OR4P4,1,OR4P4
SDK1,3,SDK1
FAM221B,1,FAM221B
DHX15,4,DHX15
CACNA1C,4,CACNA1C
AGO3,6,AGO3
LRRC70,1,LRRC70
CCN3,3,CCN3
RPAP3,4,RPAP3
CD300LG,1,CD300LG
NFS1,1,NFS1
SIPA1,2,SIPA1
VPS26A,1,VPS26A
SCGB2B2,1,SCGB2B2
RARA,2,RARA
MBD3,3,MBD3
HINT2,1,HINT2
TJP1,4,TJP1
RBMY1B,2,RBMY1B
CNTFR,1,CNTFR
OR4S2,1,OR4S2
POLR1A,5,POLR1A
OR4C6,1,OR4C6
TMEM255B,1,TMEM255B
UQCR11,1,UQCR11
SLC52A2,1,SLC52A2
RBM12,1,RBM12
CDC25B,2,CDC25B
RBMY1A1,2,RBMY1A1
PLEKHG2,2,PLEKHG2
ACACA,6,ACACA
GAS6,6,GAS6
AEN,1,AEN
CYP2F1,1,CYP2F1
HMMR,2,HMMR
TMEM8B,1,TMEM8B
RSU1,2,RSU1
ARL14EPL,1,ARL14EPL
ROMO1,1,ROMO1
PIWIL3,2,PIWIL3
CT45A1,1,CT45A1
TM4SF20,1,TM4SF20
NRN1,1,NRN1
SPINT1,3,SPINT1
GJD3,1,GJD3
CT45A3,1,CT45A3
KIF2A,1,KIF2A
TTLL7,1,TTLL7
TMIE,1,TMIE
RAI2,1,RAI2
GAL3ST4,1,GAL3ST4
ANKRD50,2,ANKRD50
CST3,1,CST3
SNAP91,1,SNAP91
PRSS50,1,PRSS50
ATG101,1,ATG101
PRSS45P,1,PRSS45P
REM2,1,REM2
BEND2,1,BEND2
SAMM50,1,SAMM50
MIB2,8,MIB2
SYCP2,2,SYCP2
GPC2,1,GPC2
C17orf78,1,C17orf78
FGF1,1,FGF1
AP5S1,1,AP5S1
CT45A5,1,CT45A5
DCP1B,2,DCP1B
PNPLA3,1,PNPLA3
PPM1A,2,PPM1A
HTR3A,2,HTR3A
ENPP4,1,ENPP4
MFSD2A,1,MFSD2A
CT45A6,1,CT45A6
LVRN,3,LVRN
NAV2,1,NAV2
ENPP5,1,ENPP5
CT45A2,1,CT45A2
SPRY4,1,SPRY4
TIPARP,1,TIPARP
ADAMDEC1,2,ADAMDEC1
AGFG1,1,AGFG1
CT45A7,1,CT45A7
OR5D3P,1,OR5D3P
SCML2,4,SCML2
ELL,2,ELL
SLC25A47,1,SLC25A47
CT45A8,1,CT45A8
BBC3,1,BBC3
FOXM1,1,FOXM1
CLSTN1,2,CLSTN1
CCDC74B,2,CCDC74B
KIF25,1,KIF25
PORCN,1,PORCN
CBWD1,2,CBWD1
RHNO1,1,RHNO1
ZFP36L2,2,ZFP36L2
RPP25L,1,RPP25L
KRT80,1,KRT80
ADAM28,4,ADAM28
CCDC9,1,CCDC9
NCAPH,1,NCAPH
PARVB,1,PARVB
RFX6,1,RFX6
C14orf177,1,C14orf177
SOD3,1,SOD3
IL13RA1,2,IL13RA1
SLC26A8,2,SLC26A8
VMA21,1,VMA21
VGLL2,1,VGLL2
TULP3,2,TULP3
CHN1,3,CHN1
ADAM7,4,ADAM7
FBN1,5,FBN1
BCL11B,1,BCL11B
RCAN2,1,RCAN2
RRP8,1,RRP8
TEX52,1,TEX52
NUP35,1,NUP35
NNMT,1,NNMT
HSPA8,1,HSPA8
TAF10,1,TAF10
HFE,2,HFE
IL5RA,1,IL5RA
IQCA1,1,IQCA1
IGHMBP2,4,IGHMBP2
CT45A9,1,CT45A9
CYP39A1,1,CYP39A1
CT45A10,1,CT45A10
ATXN7L1,1,ATXN7L1
PPP1R3D,1,PPP1R3D
RBM7,1,RBM7
ICA1,2,ICA1
A1BG,1,A1BG
SAGE1,1,SAGE1
SERF2,1,SERF2
HELQ,2,HELQ
CLMP,2,CLMP
FAM217B,1,FAM217B
ZNF497,1,ZNF497
AKAP9,1,AKAP9
CCDC149,1,CCDC149
C11orf71,1,C11orf71
SH3GL1,2,SH3GL1
LRRC38,1,LRRC38
DYNC1H1,11,DYNC1H1
C11orf88,1,C11orf88
FAM174C,1,FAM174C
PIK3CD,5,PIK3CD
AIG1,1,AIG1
OR5D13,1,OR5D13
ZCCHC12,1,ZCCHC12
EFNA2,1,EFNA2
OR5D14,1,OR5D14
CLSTN2,1,CLSTN2
OR5L1,1,OR5L1
OR5D18,1,OR5D18
TAS2R30,1,TAS2R30
EQTN,1,EQTN
TAS2R20,1,TAS2R20
OR5L2,1,OR5L2
TAS2R19,1,TAS2R19
TAS2R14,1,TAS2R14
TAS2R50,1,TAS2R50
ABCB4,2,ABCB4
TRIM42,2,TRIM42
LONRF2,2,LONRF2
TKT,3,TKT
IL16,1,IL16
ZNF837,1,ZNF837
PRR4,1,PRR4
SEPTIN11,1,SEPTIN11
STK33,1,STK33
DLK2,2,DLK2
NAT1,1,NAT1
F13A1,3,F13A1
BDH1,1,BDH1
PDIA3,2,PDIA3
SUMF2,1,SUMF2
ANK2,6,ANK2
NEB,2,NEB
ACAP1,4,ACAP1
CDH26,1,CDH26
REXO2,1,REXO2
HDAC7,1,HDAC7
TAS2R31,1,TAS2R31
TAS2R13,1,TAS2R13
VDAC3,1,VDAC3
MAVS,1,MAVS
PRH2,1,PRH2
SPATA31A5,2,SPATA31A5
AGPAT5,2,AGPAT5
TAS2R10,1,TAS2R10
TAS2R46,1,TAS2R46
ABCC10,2,ABCC10
LIN52,1,LIN52
TAS2R43,1,TAS2R43
RPS5,1,RPS5
STARD5,1,STARD5
GAB3,1,GAB3
CNTN4,3,CNTN4
RYR1,9,RYR1
PAQR7,1,PAQR7
HAND1,1,HAND1
SERINC4,1,SERINC4
TPP1,1,TPP1
ADRB2,1,ADRB2
PRAP1,1,PRAP1
PDE9A,1,PDE9A
VSX2,2,VSX2
ZNF511-PRAP1,1,ZNF511-PRAP1
SPPL2C,1,SPPL2C
TASOR,1,TASOR
OR5D16,1,OR5D16
XPA,2,XPA
PANK2,1,PANK2
ZBTB16,3,ZBTB16
CALY,1,CALY
CADPS,2,CADPS
NKX3-2,1,NKX3-2
WARS,2,WARS
FOXE1,1,FOXE1
NSUN3,1,NSUN3
KCTD19,1,KCTD19
SLC25A36,1,SLC25A36
ELL3,2,ELL3
IL17RE,2,IL17RE
CCDC66,1,CCDC66
COMMD10,1,COMMD10
RGPD5,5,RGPD5
RNF24,1,RNF24
DHFR2,1,DHFR2
ABHD15,1,ABHD15
PLA2G7,1,PLA2G7
PHKG1,2,PHKG1
EIF3E,2,EIF3E
RNF225,1,RNF225
ORM1,1,ORM1
TDRD6,1,TDRD6
TUBGCP2,2,TUBGCP2
FNDC4,1,FNDC4
ZNF236,3,ZNF236
ORM2,1,ORM2
SIRPA,2,SIRPA
TTC39C,1,TTC39C
MRGPRD,1,MRGPRD
PDE8A,2,PDE8A
HIST1H2BC,1,HIST1H2BC
CABCOCO1,1,CABCOCO1
CYP2S1,1,CYP2S1
ZNF584,3,ZNF584
RFPL2,4,RFPL2
MAPT,1,MAPT
SLC25A27,1,SLC25A27
IHH,2,IHH
NUDT16,1,NUDT16
KCNJ4,2,KCNJ4
ZNF324B,2,ZNF324B
SGTA,3,SGTA
HADHA,3,HADHA
GSDMC,2,GSDMC
LARP6,2,LARP6
PODXL,1,PODXL
ZNF132,3,ZNF132
SLC5A4,1,SLC5A4
FAT4,3,FAT4
THAP10,1,THAP10
PDZRN4,2,PDZRN4
MTMR10,2,MTMR10
XPNPEP1,4,XPNPEP1
WDR25,1,WDR25
COL18A1,5,COL18A1
NDNF,1,NDNF
BCLAF1,2,BCLAF1
TRMO,1,TRMO
RPS16,1,RPS16
TOP2A,6,TOP2A
MEGF6,4,MEGF6
SPON2,2,SPON2
UGT2B7,1,UGT2B7
TOX3,1,TOX3
RAPGEF3,4,RAPGEF3
PLEKHG4,1,PLEKHG4
SSH2,2,SSH2
ISG20,1,ISG20
