Genes,Protein_Mass (Daltons),Norm_Symbol
TMEM268,37569,TMEM268
SAP25,20873,SAP25
SERPINB7,42905,SERPINB7
ICA1L,54407,ICA1L
CLDN25,25394,CLDN25
LMTK2,164900,LMTK2
HUS1,31691,HUS1
ZNF692,56968,ZNF692
CCDC175,93626,CCDC175
TMEM121,35814,TMEM121
CCDC173,66403,CCDC173
TRIM73,28517,TRIM73
PSRC1,38796,PSRC1
STUM,15007,STUM
CDC37,44468,CDC37
DIRAS3,25861,DIRAS3
RETREG2,57830,RETREG2
PNLDC1,60124,PNLDC1
DPPA3,17851,DPPA3
C22orf39,16805,C22orf39
PRLH,9639,PRLH
PI4KA,236830,PI4KA
CNPY3,30748,CNPY3
SLC25A29,32062,SLC25A29
NOG,25774,NOG
POLD2,51289,POLD2
SP1,80693,SP1
MT-CO1,57041,MT-CO1
H2AFV,13509,H2AFV
AGBL4,58230,AGBL4
RFPL2,42077,RFPL2
PTGR1,35870,PTGR1
HOXA7,25355,HOXA7
ZNF135,75261,ZNF135
GCA,24010,GCA
ITM2C,30224,ITM2C
APOPT1,24153,APOPT1
MAPK13,42090,MAPK13
AK3,25565,AK3
SEMA6C,99686,SEMA6C
DPM3,10094,DPM3
OPN1SW,39135,OPN1SW
RBM27,118718,RBM27
FSIP2,780607,FSIP2
RB1,106159,RB1
OSGIN1,51992,OSGIN1
C6orf52,17383,C6orf52
CAMP,19301,CAMP
GYG2,55184,GYG2
PCNX2,237277,PCNX2
ACTN2,103854,ACTN2
MRGPRE,34286,MRGPRE
SMC1B,143908,SMC1B
WIPI2,49408,WIPI2
SUSD3,27119,SUSD3
BBX,105130,BBX
GNE,79275,GNE
IAH1,27599,IAH1
BPIFB2,49172,BPIFB2
WDR88,52621,WDR88
IL17A,17504,IL17A
RNF208,27964,RNF208
COL6A2,108579,COL6A2
ASB11,35367,ASB11
NUDC,38243,NUDC
PHACTR1,66308,PHACTR1
ARL6IP4,44915,ARL6IP4
ZBTB4,105114,ZBTB4
LRP4,212045,LRP4
GAST,11394,GAST
ALX4,44241,ALX4
LRRC1,59242,LRRC1
ALDH3A2,54848,ALDH3A2
TEX101,26667,TEX101
FOS,40695,FOS
CPSF2,88487,CPSF2
SOD3,25851,SOD3
PALM2,42185,PALM2
DEFB125,17537,DEFB125
PAGE1,16150,PAGE1
DENND3,135890,DENND3
HAGHL,31557,HAGHL
METAP2,52892,METAP2
ZFP92,45791,ZFP92
MYL9,19827,MYL9
ATRX,282586,ATRX
TPBGL,40400,TPBGL
SLC5A12,67647,SLC5A12
KANSL1,121025,KANSL1
CHORDC1,37490,CHORDC1
IGLV3-10,12441,IGLV3-10
USF2,36955,USF2
NLRP13,118884,NLRP13
TM9SF4,74519,TM9SF4
SCG5,23730,SCG5
CYS1,16393,CYS1
NSF,82594,NSF
MICAL1,117875,MICAL1
ZNF804B,152573,ZNF804B
ZNF396,38612,ZNF396
TRIM42,82745,TRIM42
NTHL1,34390,NTHL1
ABCC9,174223,ABCC9
TXNRD1,70906,TXNRD1
CRLF1,46302,CRLF1
KIAA1147,51446,KIAA1147
PIWIL2,109849,PIWIL2
PRR23C,27805,PRR23C
GJD3,31933,GJD3
TAS2R20,35358,TAS2R20
SUSD1,82710,SUSD1
CD3EAP,54986,CD3EAP
DOK1,52392,DOK1
RNF165,39526,RNF165
RPP14,13693,RPP14
PEX26,33898,PEX26
ACTL9,45627,ACTL9
C1GALT1C1L,36396,C1GALT1C1L
SDS,34625,SDS
FBN3,300356,FBN3
C11orf98,14234,C11orf98
LOXL2,86725,LOXL2
NECAP1,29737,NECAP1
CDKL2,56019,CDKL2
ZNHIT2,42884,ZNHIT2
PCDHA7,100865,PCDHA7
ANKRD30A,158835,ANKRD30A
ATP6AP1,52026,ATP6AP1
SHC4,68785,SHC4
DNAJC10,91080,DNAJC10
USP17L18,59657,USP17L18
DAZL,33178,DAZL
BRS3,44411,BRS3
ZSCAN21,53658,ZSCAN21
PGP,34006,PGP
CYBA,21013,CYBA
SLC24A5,54888,SLC24A5
ADD2,80854,ADD2
DPP6,97588,DPP6
PPID,40764,PPID
PBK,36085,PBK
SLC23A3,64531,SLC23A3
SC5D,35301,SC5D
CPA5,49036,CPA5
CD163L1,159239,CD163L1
LNPK,47740,LNPK
EIF5AL1,16773,EIF5AL1
ZNF417,65733,ZNF417
CCL5,9990,CCL5
NOC2L,84919,NOC2L
CAPS,30240,CAPS
OR5M11,34450,OR5M11
HMGXB3,168334,HMGXB3
MPZL2,24484,MPZL2
CMTM2,27496,CMTM2
RAP2B,20504,RAP2B
MBNL1,41817,MBNL1
CEACAM21,32373,CEACAM21
SPANXA1,11038,SPANXA1
OR5L1,34559,OR5L1
GPR143,43878,GPR143
REXO2,26833,REXO2
MTG2,43955,MTG2
SLC40A1,62542,SLC40A1
TRAV40,11556,TRAV40
IGLC2,11294,IGLC2
POLI,83006,POLI
SPRR2A,7965,SPRR2A
KRTAP12-3,9947,KRTAP12-3
HEPH,130449,HEPH
BBS1,65083,BBS1
B4GALNT4,116513,B4GALNT4
ADGRB3,171518,ADGRB3
C1QBP,31362,C1QBP
S1PR2,38867,S1PR2
LRRC7,172581,LRRC7
HNRNPA1L2,34225,HNRNPA1L2
RPN1,68569,RPN1
GLCE,70101,GLCE
IZUMO3,27768,IZUMO3
GLUD2,61434,GLUD2
MBOAT4,49716,MBOAT4
SNAP23,23354,SNAP23
FCER1A,29596,FCER1A
HIST1H2BO,13906,HIST1H2BO
ZSCAN16,40792,ZSCAN16
OR4Q2,34733,OR4Q2
PIK3CG,126454,PIK3CG
TJAP1,61821,TJAP1
UHRF2,89985,UHRF2
ZIC5,68448,ZIC5
ELOVL7,33356,ELOVL7
VAT1L,45899,VAT1L
OR5AN1,34789,OR5AN1
PLCG1,148532,PLCG1
GHR,71500,GHR
ARHGAP25,73435,ARHGAP25
MOSPD3,25519,MOSPD3
ZNF782,80904,ZNF782
NCAPH,82563,NCAPH
TRUB1,37253,TRUB1
ASB17,34282,ASB17
CILP,132565,CILP
NPIPB3,116847,NPIPB3
OR2S2,35172,OR2S2
EMP2,19199,EMP2
PTH2R,62236,PTH2R
PTGR2,38499,PTGR2
PHGDH,56651,PHGDH
LCE1B,11626,LCE1B
ERCC6L2,177127,ERCC6L2
SLC18A2,55713,SLC18A2
IGKV3D-11,12625,IGKV3D-11
SSU72,22574,SSU72
TCAF2,100906,TCAF2
FAM98C,37329,FAM98C
PPP1R13B,119565,PPP1R13B
FBXL22,27269,FBXL22
KIAA1841,82007,KIAA1841
MID1,75251,MID1
KRTAP19-2,5737,KRTAP19-2
GPR3,35010,GPR3
RCAN3,27492,RCAN3
SLC5A9,74073,SLC5A9
C1QTNF2,29952,C1QTNF2
CLDN8,24845,CLDN8
ATP5J2,10918,ATP5J2
LZIC,21495,LZIC
MUM1,78636,MUM1
RILPL2,23986,RILPL2
ORMDL2,17363,ORMDL2
KCTD16,49138,KCTD16
FRMPD3,199209,FRMPD3
LY6G6C,13821,LY6G6C
SDF2L1,23598,SDF2L1
SNAPC3,46753,SNAPC3
SLC6A13,68009,SLC6A13
REV3L,352776,REV3L
TM6SF2,42554,TM6SF2
FECH,47862,FECH
ATP10A,167688,ATP10A
FAM102B,39308,FAM102B
KRT16,51268,KRT16
UNC79,295326,UNC79
GZF1,80492,GZF1
FAM57B,30629,FAM57B
DCXR,25913,DCXR
DPY19L2,87374,DPY19L2
OR12D3,35791,OR12D3
GKN2,20487,GKN2
C1orf198,36346,C1orf198
OR6C3,35531,OR6C3
KCNAB1,46563,KCNAB1
GH2,25000,GH2
SLC16A1,53944,SLC16A1
ATOH8,34644,ATOH8
ATP6V1H,55883,ATP6V1H
KCNV1,56304,KCNV1
C18orf54,41811,C18orf54
FOXD1,46140,FOXD1
KCNC1,57942,KCNC1
GTDC1,52597,GTDC1
HMGCLL1,39514,HMGCLL1
ZNF677,67996,ZNF677
CHCHD2,15513,CHCHD2
PRR32,31890,PRR32
KBTBD3,69839,KBTBD3
SMARCD3,55016,SMARCD3
TEAD4,48329,TEAD4
PSPN,16600,PSPN
SP100,100417,SP100
HS2ST1,41881,HS2ST1
SLC5A2,72897,SLC5A2
TNFRSF18,26000,TNFRSF18
TCF21,19715,TCF21
TNIP3,38943,TNIP3
OPN3,44873,OPN3
MTPAP,66172,MTPAP
TRIM60,55114,TRIM60
TTC21B,150937,TTC21B
DKK2,28447,DKK2
FAAH2,58304,FAAH2
KCNA1,56466,KCNA1
DNASE2B,41713,DNASE2B
TRAV4,12215,TRAV4
TAPBPL,50183,TAPBPL
ZNF491,50950,ZNF491
DLG1,100455,DLG1
VWA5A,86489,VWA5A
EFNB3,35835,EFNB3
FOXRED2,77791,FOXRED2
LRRC9,166911,LRRC9
ZNF69,65761,ZNF69
TNK2,114569,TNK2
TMEM252,18703,TMEM252
OR1L3,36633,OR1L3
BORCS5,22222,BORCS5
BGN,41654,BGN
ADPGK,54089,ADPGK
C16orf95,16793,C16orf95
ZNF26,61282,ZNF26
PRR30,44690,PRR30
SEL1L3,128567,SEL1L3
OFD1,116671,OFD1
XKR9,43406,XKR9
TRMT44,84629,TRMT44
LYRM7,11955,LYRM7
ZNF286A,60175,ZNF286A
HMGB3,22980,HMGB3
EMC10,27347,EMC10
FOXD3,47630,FOXD3
TRPA1,127501,TRPA1
FNDC8,35921,FNDC8
QRFPR,49488,QRFPR
CACNG7,31003,CACNG7
NFU1,28463,NFU1
SOX13,69228,SOX13
SYN1,74111,SYN1
ZFAND3,25184,ZFAND3
XPO7,123907,XPO7
SDHAF2,19599,SDHAF2
STX19,34324,STX19
CYTL1,15577,CYTL1
SCAF8,140519,SCAF8
RBFOX3,33873,RBFOX3
DNASE1,31434,DNASE1
PIK3C2A,190680,PIK3C2A
SH2D1B,15297,SH2D1B
ZNF444,35204,ZNF444
C5orf22,49967,C5orf22
TRIB2,38801,TRIB2
GSTA3,25302,GSTA3
CEP126,125870,CEP126
HOXD13,36101,HOXD13
AGGF1,80977,AGGF1
CHST5,46161,CHST5
CCDC88A,216042,CCDC88A
WNK2,242676,WNK2
UQCRFS1,29668,UQCRFS1
MED16,96793,MED16
NBPF19,440408,NBPF19
PSCA,11959,PSCA
NMUR1,47351,NMUR1
CCND2,33067,CCND2
CASP9,46281,CASP9
REN,45057,REN
RPA2,29247,RPA2
NEU3,48252,NEU3
SERTAD3,21769,SERTAD3
ABCB5,138641,ABCB5
NR0B2,28058,NR0B2
TRBV10-1,12970,TRBV10-1
METTL11B,32400,METTL11B
STRA8,36908,STRA8
C20orf144,17214,C20orf144
NT5DC4,48951,NT5DC4
RINT1,90632,RINT1
P2RY10,38774,P2RY10
NDUFA13,16698,NDUFA13
EEF2,95338,EEF2
TNNT1,32948,TNNT1
HMGCR,97476,HMGCR
OLR1,30959,OLR1
LNX1,80629,LNX1
C17orf51,24325,C17orf51
TBX5,57711,TBX5
TMC4,79208,TMC4
ERCC3,89278,ERCC3
KPNB1,97170,KPNB1
PLEKHO2,53350,PLEKHO2
GNPTAB,143622,GNPTAB
SCN4B,24969,SCN4B
SSPO,547841,SSPO
CD74,33516,CD74
FAM209A,19603,FAM209A
ITIH1,101389,ITIH1
ZNF668,67890,ZNF668
PACRGL,27152,PACRGL
HAUS3,69650,HAUS3
TMEM115,38197,TMEM115
MYL1,21145,MYL1
ELMO3,81467,ELMO3
WDR77,36724,WDR77
PDXP,31698,PDXP
TLR10,94564,TLR10
RAB2B,24214,RAB2B
ARHGEF7,90012,ARHGEF7
IGKV1-6,12697,IGKV1-6
LARGE1,88066,LARGE1
ZC3H11A,89131,ZC3H11A
PFKFB4,54040,PFKFB4
AKR1B10,36020,AKR1B10
GCSH,18885,GCSH
GFPT1,78806,GFPT1
SRSF3,19330,SRSF3
SLC7A4,68268,SLC7A4
EXOSC1,21452,EXOSC1
TET3,179350,TET3
FAM45A,40513,FAM45A
SEH1L,39649,SEH1L
NCL,76614,NCL
ZNF678,61411,ZNF678
GLB1,76075,GLB1
HOXA13,39727,HOXA13
PLN,6109,PLN
SLC25A3,40095,SLC25A3
EFCAB11,19225,EFCAB11
YKT6,22418,YKT6
CAMK1,41337,CAMK1
AOC2,83673,AOC2
INVS,117826,INVS
FCAR,32265,FCAR
LRRC37A3,180621,LRRC37A3
H1FX,22487,H1FX
LHX2,44373,LHX2
MTMR2,73381,MTMR2
SNX9,66592,SNX9
FCGRT,39743,FCGRT
PRSS36,91955,PRSS36
ZNF404,65425,ZNF404
RAD21,71690,RAD21
PSMB6,25358,PSMB6
PSKH2,43027,PSKH2
SH3BGRL2,12326,SH3BGRL2
TMEM178A,33019,TMEM178A
MRPS34,25650,MRPS34
ALOXE3,80543,ALOXE3
HMX2,29598,HMX2
OR52E2,36630,OR52E2
IPO7,119517,IPO7
JAG2,133367,JAG2
BUB1B,119545,BUB1B
NET1,67740,NET1
NKX1-2,32381,NKX1-2
PDE1A,61252,PDE1A
TRAT1,21211,TRAT1
BIVM,56774,BIVM
PNPLA5,47912,PNPLA5
SEPT5,42777,SEPT5
OR11H6,36788,OR11H6
FARS2,52357,FARS2
TMC6,90045,TMC6
CDCA5,27601,CDCA5
FLOT1,47355,FLOT1
NEURL2,31690,NEURL2
SOWAHC,55672,SOWAHC
RIMKLB,42464,RIMKLB
TMEM69,27551,TMEM69
VPS8,161754,VPS8
MYORG,81087,MYORG
NWD1,174552,NWD1
OTOP3,66296,OTOP3
TINAG,54605,TINAG
KCNG2,51240,KCNG2
FPGT,68010,FPGT
DIEXF,87055,DIEXF
CST5,16080,CST5
PLA2G2C,16844,PLA2G2C
SSX2IP,71236,SSX2IP
DAZ1,82764,DAZ1
WBP2,28087,WBP2
GLMP,43864,GLMP
USP19,145651,USP19
TECTB,36956,TECTB
ELOVL6,31376,ELOVL6
ADCY2,123603,ADCY2
HP,45205,HP
ZRSR2,58045,ZRSR2
SLC1A5,56598,SLC1A5
FCRLB,46904,FCRLB
C1QTNF12,32416,C1QTNF12
LBP,53384,LBP
ZDHHC2,42022,ZDHHC2
RBMXL1,42142,RBMXL1
PLPP4,30395,PLPP4
ITCH,102803,ITCH
COX15,46030,COX15
DENND2D,53672,DENND2D
METTL6,33251,METTL6
TTC36,20896,TTC36
LRRC28,41912,LRRC28
SMAD9,52493,SMAD9
FURIN,86678,FURIN
NPY4R,42195,NPY4R
OR10P1,34741,OR10P1
CHRNA1,54546,CHRNA1
ZNF3,50916,ZNF3
RNF167,38299,RNF167
INHBA,47442,INHBA
HOXA11,34486,HOXA11
AACS,75144,AACS
SEMA4F,83511,SEMA4F
ENAH,66510,ENAH
SPAG4,48165,SPAG4
CRK,33831,CRK
OR2T6,34765,OR2T6
COL2A1,141785,COL2A1
UGGT1,177190,UGGT1
GPSM1,74510,GPSM1
SOAT1,64735,SOAT1
ANGPTL8,22105,ANGPTL8
STAB2,276988,STAB2
RPLP1,11514,RPLP1
CARS,85473,CARS
GPAM,93795,GPAM
SDHB,31630,SDHB
DLK1,41300,DLK1
AK9,221413,AK9
TMED2,22761,TMED2
GRAMD1B,85400,GRAMD1B
PPP1R9B,89334,PPP1R9B
GNPTG,33974,GNPTG
PROSER3,51075,PROSER3
ABCA2,269833,ABCA2
ELFN1,90477,ELFN1
HDHD2,28536,HDHD2
NUDT4,20306,NUDT4
FSHR,78265,FSHR
TAF1L,207302,TAF1L
SNX32,46399,SNX32
ALPP,57954,ALPP
ASB8,31642,ASB8
OR6C65,35198,OR6C65
ADNP2,122833,ADNP2
KRTAP21-2,8564,KRTAP21-2
GOLGA8B,67278,GOLGA8B
GPX3,25552,GPX3
NAA30,39320,NAA30
MARCKSL1,19529,MARCKSL1
SCML4,45023,SCML4
SCN10A,220626,SCN10A
CDK19,56802,CDK19
SLC39A3,33601,SLC39A3
ZNF71,54498,ZNF71
FAM50A,40242,FAM50A
LRP12,94984,LRP12
SCAF11,164652,SCAF11
SPATS1,33705,SPATS1
GTF3C4,91982,GTF3C4
RPS23,15808,RPS23
BDKRB1,40495,BDKRB1
MPZL1,29082,MPZL1
PHLDB2,142158,PHLDB2
OR8U1,35088,OR8U1
POSTN,93314,POSTN
RNF168,65020,RNF168
MACC1,96639,MACC1
PDHA1,43296,PDHA1
EML1,89861,EML1
AMDHD2,43748,AMDHD2
RHBDF1,97401,RHBDF1
RAB24,23124,RAB24
ASAH2,85516,ASAH2
RPS26,13015,RPS26
CDH26,92416,CDH26
PRSS56,64597,PRSS56
HSFY1,45107,HSFY1
CHST10,42207,CHST10
GGA1,70384,GGA1
ZNF462,284688,ZNF462
RBM10,103533,RBM10
SYNPO,99463,SYNPO
UNG,34645,UNG
SMIM10L1,7391,SMIM10L1
VDR,48289,VDR
AQR,171295,AQR
FBXO28,41149,FBXO28
DLX4,26263,DLX4
IL17C,21765,IL17C
DPYSL3,61963,DPYSL3
PIP4K2B,47378,PIP4K2B
PYGB,96696,PYGB
SULT2A1,33780,SULT2A1
TREML4,21924,TREML4
IGHV3-74,12840,IGHV3-74
CCDC77,57486,CCDC77
PPP1R9A,123342,PPP1R9A
RPUSD3,38461,RPUSD3
DUSP22,20910,DUSP22
UBAP2L,114535,UBAP2L
MAGEC1,123643,MAGEC1
CCBE1,44103,CCBE1
USP17L19,59658,USP17L19
CLCNKA,75285,CLCNKA
PSMB10,28936,PSMB10
UBQLNL,52897,UBQLNL
LAMB1,198038,LAMB1
SNPH,53537,SNPH
TCTEX1D2,16122,TCTEX1D2
HSPB7,18611,HSPB7
TRNT1,50128,TRNT1
RABGAP1,121737,RABGAP1
SGSH,56695,SGSH
BEX2,15321,BEX2
PDZRN3,119596,PDZRN3
FKBP5,51212,FKBP5
TCHP,61072,TCHP
PLCD1,85665,PLCD1
LUM,38429,LUM
BVES,41451,BVES
ST3GAL3,42171,ST3GAL3
SIRT1,81681,SIRT1
PASD1,87428,PASD1
RBMY1J,55728,RBMY1J
MTHFR,74597,MTHFR
HCLS1,54014,HCLS1
DRG1,40542,DRG1
PMS1,105830,PMS1
AKAP12,191482,AKAP12
MLLT3,63351,MLLT3
HMCES,40575,HMCES
RBM8A,19889,RBM8A
NKX2-3,38406,NKX2-3
MINDY4B,51976,MINDY4B
COL23A1,51944,COL23A1
RAD50,153892,RAD50
GGA2,67150,GGA2
CLCN6,97289,CLCN6
FKBP15,133630,FKBP15
KIFC3,92775,KIFC3
ZNF780B,96807,ZNF780B
GPR156,89097,GPR156
AXIN2,93558,AXIN2
MNX1,40569,MNX1
MEX3D,64883,MEX3D
TMEM265,11832,TMEM265
FNIP1,130555,FNIP1
KCMF1,41945,KCMF1
RREB1,181420,RREB1
SELP,90834,SELP
ARHGAP36,61664,ARHGAP36
ATP6AP2,39008,ATP6AP2
CECR2,164213,CECR2
GML,17730,GML
CLU,52495,CLU
PYCR1,33361,PYCR1
TCEAL7,12324,TCEAL7
PADI3,74743,PADI3
CDCA4,26114,CDCA4
DSG1,113748,DSG1
FOXO6,50595,FOXO6
TMEM87B,63536,TMEM87B
CEP131,122149,CEP131
GTF3A,41515,GTF3A
SMAP2,46786,SMAP2
UFM1,9118,UFM1
HTR3C,50220,HTR3C
TP53BP1,213574,TP53BP1
NLRP11,117779,NLRP11
SLC10A2,37714,SLC10A2
ATP13A5,137327,ATP13A5
ABCB6,93886,ABCB6
XKRX,52052,XKRX
FANCG,68554,FANCG
TAF4B,91091,TAF4B
VPS72,40594,VPS72
SASH3,41595,SASH3
AIDA,35023,AIDA
SPRY3,31222,SPRY3
VPS37B,31307,VPS37B
ERO1A,54393,ERO1A
C16orf54,24360,C16orf54
KIR2DL5A,40678,KIR2DL5A
KRTCAP2,14679,KRTCAP2
AAGAB,34594,AAGAB
GMPPA,46291,GMPPA
GLP1R,53026,GLP1R
UCKL1,61141,UCKL1
KRTAP9-8,16723,KRTAP9-8
RP1L1,252289,RP1L1
ANO3,114657,ANO3
ERG,54608,ERG
CLNK,49554,CLNK
RGPD1,196662,RGPD1
OR2M2,39177,OR2M2
OR14A16,34307,OR14A16
OR5A2,36016,OR5A2
ZNF101,50339,ZNF101
FST,38007,FST
UQCRB,13530,UQCRB
ZMAT1,74755,ZMAT1
ASAH2B,19025,ASAH2B
IER2,24196,IER2
NOP56,66050,NOP56
ALOX5,77983,ALOX5
OCLN,59144,OCLN
CYP46A1,56821,CYP46A1
OR1D5,35424,OR1D5
C3orf49,33461,C3orf49
ACSM5,64760,ACSM5
RAD21L1,63324,RAD21L1
PDGFRA,122670,PDGFRA
ZNF333,75544,ZNF333
FAM71B,64756,FAM71B
SBSPON,29610,SBSPON
INTS13,80225,INTS13
ZNF28,83658,ZNF28
TMEM161A,53602,TMEM161A
NKAIN3,22620,NKAIN3
RAB11FIP1,137167,RAB11FIP1
GSR,56257,GSR
SULT1C4,35520,SULT1C4
DUS2,55050,DUS2
C21orf62,24886,C21orf62
TMPRSS11A,47569,TMPRSS11A
MAT1A,43648,MAT1A
ANGPTL2,57104,ANGPTL2
PITPNM3,106781,PITPNM3
PAFAH1B1,46638,PAFAH1B1
TLR7,120922,TLR7
LAMP5,31472,LAMP5
PRPF40B,99358,PRPF40B
PGA3,41976,PGA3
FDX2,19888,FDX2
POLG2,54911,POLG2
PPP1R15B,79152,PPP1R15B
APOA2,11175,APOA2
TBX19,48238,TBX19
HTR3B,50292,HTR3B
ING4,28530,ING4
CD180,74179,CD180
HTT,347603,HTT
MT2A,6042,MT2A
PLA2G2E,15989,PLA2G2E
TIFA,21445,TIFA
KLHL34,70612,KLHL34
FNDC7,78236,FNDC7
SNAPC4,159433,SNAPC4
SNRPA,31280,SNRPA
PGPEP1,23138,PGPEP1
IFI27,11542,IFI27
LRRC17,51800,LRRC17
RPAP2,69509,RPAP2
ANKRD30B,158049,ANKRD30B
RRH,37423,RRH
SLC35D1,39240,SLC35D1
MAD2L1,23510,MAD2L1
MAPK9,48139,MAPK9
ABCC2,174207,ABCC2
KRT25,49318,KRT25
BAIAP2,60868,BAIAP2
FAM189B,71355,FAM189B
H2BFS,13944,H2BFS
OR51T1,36998,OR51T1
PANO1,22842,PANO1
REXO5,86886,REXO5
AKAP3,94751,AKAP3
FAM53A,42585,FAM53A
ENPP2,98994,ENPP2
RPL27A,16561,RPL27A
POU3F3,50327,POU3F3
RBM43,40666,RBM43
IRX1,49621,IRX1
NACC2,62837,NACC2
SLC43A2,62747,SLC43A2
TOR3A,46199,TOR3A
NUBP1,34534,NUBP1
SERF2,6900,SERF2
CTTNBP2NL,70158,CTTNBP2NL
CDK8,53284,CDK8
MTURN,14925,MTURN
CRABP1,15566,CRABP1
FAM131C,30351,FAM131C
APBA3,61454,APBA3
SCUBE3,109282,SCUBE3
BMPR2,115201,BMPR2
OTOP2,62236,OTOP2
DCT,59145,DCT
PPDPFL,9188,PPDPFL
CRYAA,19909,CRYAA
CEBPB,36106,CEBPB
PNMT,30855,PNMT
RPN2,69284,RPN2
RAD51B,42196,RAD51B
EEF1AKMT3,24911,EEF1AKMT3
TMEM150A,28835,TMEM150A
LY6H,14669,LY6H
TBC1D16,86372,TBC1D16
RAB30,23058,RAB30
RNF31,119652,RNF31
HOXB9,28059,HOXB9
RASL12,29662,RASL12
CHRNB2,57019,CHRNB2
GCNA,76112,GCNA
ORC2,65972,ORC2
GATA3,47916,GATA3
DDX19B,53927,DDX19B
FAM72B,16617,FAM72B
RBKS,34143,RBKS
HOXD9,36495,HOXD9
CDCA7,42573,CDCA7
GUCA1A,22920,GUCA1A
C1orf87,62035,C1orf87
SLC17A2,47277,SLC17A2
ZKSCAN2,110941,ZKSCAN2
SUPT16H,119914,SUPT16H
FDPS,48275,FDPS
USP36,122908,USP36
CRB1,154183,CRB1
BSX,25933,BSX
GP2,59480,GP2
DEFB104A,8526,DEFB104A
C5orf38,15091,C5orf38
NDST2,100875,NDST2
PGRMC1,21671,PGRMC1
MROH5,149091,MROH5
USP34,404233,USP34
UCK1,31435,UCK1
SPACA9,25166,SPACA9
C8orf86,24736,C8orf86
CTDP1,104399,CTDP1
PEBP4,25733,PEBP4
FAM24B,10147,FAM24B
PTMS,11530,PTMS
GAB2,74458,GAB2
CLDN9,22848,CLDN9
CXCR1,39791,CXCR1
NFRKB,139001,NFRKB
CTSB,37822,CTSB
MOV10L1,135293,MOV10L1
AQP3,31544,AQP3
FOXI2,32979,FOXI2
NDUFS3,30242,NDUFS3
PTX4,52339,PTX4
SEC22B,24593,SEC22B
TRIM64C,51540,TRIM64C
OR4K1,35201,OR4K1
TTC39C,65870,TTC39C
HEXIM2,32419,HEXIM2
HYAL3,46501,HYAL3
USP26,104047,USP26
TCEANC,40245,TCEANC
ZFAND2B,28023,ZFAND2B
CD80,33048,CD80
CHERP,103702,CHERP
HAND2,23666,HAND2
PLPPR4,82983,PLPPR4
TCP11,56141,TCP11
ENOX1,73348,ENOX1
NXPE2,64901,NXPE2
SURF1,33331,SURF1
CASR,120675,CASR
TFB1M,39543,TFB1M
GBF1,206446,GBF1
C5AR1,39336,C5AR1
ATN1,125414,ATN1
DMRTA2,53356,DMRTA2
MYOZ3,27157,MYOZ3
ACP2,48344,ACP2
CHRD,102032,CHRD
FRY,338875,FRY
ZNF10,66455,ZNF10
FANCD2OS,20188,FANCD2OS
CMTM5,24653,CMTM5
KCNIP2,30907,KCNIP2
HGSNAT,73293,HGSNAT
FSCN3,56624,FSCN3
C8G,22277,C8G
CANX,67568,CANX
PIGM,49460,PIGM
EMILIN1,106695,EMILIN1
SH2D4A,52727,SH2D4A
HMGN5,31525,HMGN5
BICD1,110750,BICD1
POTEB2,61708,POTEB2
ALDH9A1,53802,ALDH9A1
SCNN1D,87850,SCNN1D
INAVA,72914,INAVA
DDX41,69838,DDX41
CD36,53053,CD36
TLCD1,28548,TLCD1
NUP153,153938,NUP153
CDK14,53057,CDK14
DIP2A,170369,DIP2A
FBXO39,52646,FBXO39
IGKV1D-17,12835,IGKV1D-17
VAMP8,11438,VAMP8
SCNN1A,75704,SCNN1A
UGT1A5,60071,UGT1A5
SAGE1,99225,SAGE1
FAM92A,33431,FAM92A
PSMG1,32854,PSMG1
RFX2,79987,RFX2
NAT16,40521,NAT16
GRAMD1A,80680,GRAMD1A
UBXN10,30811,UBXN10
OR2A2,35820,OR2A2
REEP4,29395,REEP4
LOXL4,84483,LOXL4
DENND6B,66464,DENND6B
CNBD1,50224,CNBD1
MOB3B,25464,MOB3B
MRPL28,30157,MRPL28
CD82,29626,CD82
PKDCC,54132,PKDCC
ECHS1,31387,ECHS1
RPL7,29226,RPL7
COA7,25709,COA7
VIM,53652,VIM
DTYMK,23819,DTYMK
SNRPB2,25486,SNRPB2
METTL5,23719,METTL5
TRPM5,131451,TRPM5
TMEM160,19658,TMEM160
AKR1C3,36853,AKR1C3
HTR1B,43568,HTR1B
CD68,37408,CD68
UBE3A,100688,UBE3A
DAO,39474,DAO
UTS2B,13749,UTS2B
CYP4F12,60309,CYP4F12
MARVELD1,18914,MARVELD1
TRIT1,52725,TRIT1
ZP4,59400,ZP4
AVPI1,16773,AVPI1
KLLN,19958,KLLN
GAS2,34945,GAS2
KRT3,64417,KRT3
ZNF274,74177,ZNF274
ACVRL1,56124,ACVRL1
ZNF492,61158,ZNF492
OTUB2,27213,OTUB2
GPR61,49292,GPR61
FOXD4L6,45787,FOXD4L6
OR4P4,35795,OR4P4
ZNF284,69019,ZNF284
TLR2,89838,TLR2
PTCHD1,101341,PTCHD1
PANK4,85991,PANK4
KIR2DS1,33618,KIR2DS1
PARP9,96343,PARP9
SLC22A9,62169,SLC22A9
STK38L,54003,STK38L
ZNF197,118847,ZNF197
RAB28,24841,RAB28
CBX7,28341,CBX7
PDX1,30771,PDX1
GEN1,102884,GEN1
PIK3R4,153103,PIK3R4
L1CAM,140003,L1CAM
KIAA1191,33247,KIAA1191
YPEL3,13608,YPEL3
CNBP,19463,CNBP
